"tag";"bandNumber";"Color";"species";"sex";"age";"Wing.chord.num";"Site";"captureSite"
"0110171E0E";"8383637";"VMTN";"Marsh";NA;"1a";61;"BA";"BA"
"0700EDE9A7";"8383704";"OMTC";"Marsh";NA;NA;64;"BA";"BA"
"011016AF63";"8383742";"TVVM";"Marsh";NA;NA;65.5;"BA";"BA"
"01101795C5";"8383722";"YMTC";"Marsh";NA;NA;63;"BA";"BA"
"011017A3EC";"8383636";"VMTC";"Marsh";NA;NA;65.5;"BA";"BA"
"011017A4E5";"8383702";"VMTR";"Blue";NA;"1a";65;"BA";"BA"
"01101739D9";"8383745";"NMTW";"Marsh";NA;NA;65;"BA";"BA"
"011017576F";"8383730";"UMTN";"Great";"M";NA;77;"BA";"BA"
"011017358A";"8383648";"YMTG";"Great";"M";"1a";71;"BA";"BA"
"0110174796";"8383640";"VMTG";"Marsh";NA;NA;64.5;"BA";"BA"
"011016A4FE";"8383656";"AMTV";"Great";"F";"+1a";72.5;"BA";"BA"
"011017A843";"8383635";"VMTR";"Marsh";NA;NA;65;"BA";"BA"
"0700EE330B";"8383643";"VMTC";"Blue";NA;"+1a";67;"BA";"BA"
"01101746EE";"8383725";"OMTN";"Marsh";NA;NA;62;"BA";"BA"
"0110175817";"8425132";"YPTN";"Great";"M";"1a";75;"BA";"BA"
"030001E923";"8383738";"XMTA";"Marsh";NA;NA;62.5;"BA";"BA"
"0110171DFC";"8383706";"NMTN";"Marsh";NA;NA;62;"BA";"BA"
"0110179C32";"8383645";"OMTR";"Blue";NA;NA;64;"BA";"BA"
"0700EDE6B6";"8383736";"NMTA";"Marsh";NA;NA;62;"BA";"BA"
"011016B13D";"8383737";"XMTY";"Great";"F";"+1a";75;"BA";"BA"
"0700EE3964";"8383638";"VMTY";"Marsh";NA;NA;62.5;"BA";"BA"
"0700EE2B99";"8383639";"YMTA";"Great";"M";"+1a";72;"BA";"BA"
"01101701B7";"8383734";"CMTG";"Great";"M";"+1a";78.5;"BA";"BA"
"011016C375";"8383705";"NMTV";"Great";"M";"+1a";80;"BA";"BA"
"011016E450";"8425536";"TPMP";"Great";"F";"1a";73;"BA";"BA"
"011016A35E";"8383658";"UMTY";"Great";"F";"1a";72;"BA";"BA"
"0110170FD2";"8383647";"OMTG";"Blue";NA;"+1a";66.5;"BA";"BA"
"0700EE164F";"8383654";"BMTA";"Blue";"M";"1a";65;"BA";"BA"
"0700EDBF97";"8383740";"NMTC";"Marsh";NA;NA;64.5;"BA";"BA"
"011016F69D";"8383721";"VMTV";"Marsh";NA;NA;66.5;"BA";"BA"
"0110176773";"8383652";"OMTN";"Great";"M";"+1a";76;"BA";"BA"
"011016F56B";"8383641";"VMTV";"Great";"M";"1a";74.5;"BA";"BA"
"0700ED9CAD";"8383642";"YMTY";"Great";"F";"1a";72;"BA";"BA"
"0700EDB3FA";"8383707";"UMTA";"Great";"M";"+1a";77;"BA";"BA"
"011016DB26";"8383657";"WMTV";"Great";"M";"+1a";77;"BA";"BA"
